parent_id,child_id,rank,score,margin_top1_top2,decision
1200833,1327992,1,5.005444526672363,0.5437164306640625,REVIEW
1200833,1200849,2,4.461728096008301,,IGNORE
1200833,1355525,3,4.203484058380127,,IGNORE
1200833,699718,4,3.385324239730835,,IGNORE
1200833,1101279,5,3.1476969718933105,,IGNORE
1200833,771139,6,2.842859983444214,,IGNORE
1200833,770435,7,2.841552734375,,IGNORE
1200833,1416294,8,2.827479124069214,,IGNORE
1200833,1304408,9,2.6446266174316406,,IGNORE
1200833,1271530,10,2.332616090774536,,IGNORE
